"customer_name";"customer_email";"product_name";"quantity_sold";"sale_amount";"sale_date";"transaction_ID"
"Perry Marusic";"pmarusic0@uiuc.edu";"Cereal - Chocolate";4;202;"2024-11-11";1
"Verine Reaman";"Vreaman1@hibu.com";"Oranges";6;294;"2025-01-07";2
"Riobard Goggey";"rgoggey2@com.com";"Carrots - 1kg";1;220;"2023-12-03";3
"Malachi Weins";"mweins3@nytimes.com";"Beef - Steak";6;270;"2023-12-12";4
"Penni Laurentin";"plaurentin4@time.com";"Bananas";9;125;"2024-08-31";5
"Cesar Adlam";"cadlam5@taobao.com";"Juice - Orange";2;298;"2024-01-26";6
"Jorgan Oxtaby";"joxtaby6@scribd.com";"Cheese - Cheddar";6;168;"2024-10-27";7
"Guy McNern";"gmcnern7@psu.edu";"Chips - Barbecue";8;240;"2023-07-02";8
"Oswell Glayzer";"oglayzer8@paginegialle.it";"Pasta - Spaghetti";1;287;"2024-04-11";9
"Vernen Arsey";"varsey9@scribd.com";"Juice - Orange";5;162;"2023-07-20";10
"Gabbie Jans";"gjansa@sitemeter.com";"Cheese - Mozzarella";6;3;"2024-09-30";11
"Vince Tourner";"vtournerc@pagesperso-orange.fr";"Water - Bottled";5;9;"2024-02-18";13
"Julietta Paulazzi";"jpaulazzie@youku.com";"Chips - Salted";1;151;"2024-12-24";15
"Darin Rameau";"drameauf@examiner.com";"Rice - Jasmine";4;78;"2023-05-23";16
"Joseito Westraw";"jwestrawg@studiopress.com";"Butter - Unsalted";7;181;"2023-05-30";17
"Melisenda Bax";"Unknown";"Eggs - 12 Pack";2;202;"2023-10-30";18
"Randie Pirdy";"rpirdyk@sogou.com";"Soft Drink - Cola";3;24;"2024-05-27";21
"Louisette Charlesworth";"Unknown";"Cheese - Cheddar";10;221;"2024-02-01";23
"Tremayne Lynnitt";"tlynnittn@4shared.com";"Water - Bottled";3;114;"2024-12-28";24
"Barny Drinnan";"bdrinnano@boston.com";"Onions - 1kg";6;49;"2023-08-02";25
"Lynn Littrell";"llittrellr@vk.com";"Rice - Jasmine";5;50;"2023-12-11";28
"Myron Aberdeen";"maberdeens@reverbnation.com";"Eggs - 12 Pack";3;10;"2024-01-22";29
"Llewellyn Walburn";"lwalburnt@ftc.gov";"Cereal - Chocolate";6;61;"2023-11-07";30
"Baxie Dabes";"bdabesv@moonfruit.com";"Soft Drink - Lemon";10;78;"2024-10-04";32
"Catriona Ghidetti";"cghidettiw@google.com.au";"Fish - Salmon";7;159;"2023-05-07";33
"Pall Winterbottom";"pwinterbottomx@spiegel.de";"Chicken - Thigh";8;101;"2024-04-19";34
"Maje Vasler";"mvaslery@yelp.com";"Milk";1;299;"2024-01-20";35
"Gordie Ounsworth";"gounsworthz@ebay.com";"Cereal - Chocolate";7;228;"2024-09-17";36
"Tirrell Varty";"Unknown";"Eggs - 6 Pack";6;120;"2023-05-16";38
"Christoforo Cansdall";"ccansdall12@intel.com";"Juice - Apple";3;214;"2024-09-01";39
"Nealson Greasley";"ngreasley13@pen.io";"Cheese - Mozzarella";5;121;"2023-10-18";40
"Yule Laidel";"ylaidel15@csmonitor.com";"Chips - Barbecue";6;297;"2024-04-13";42
"Britney de'-Ancy Willis";"bdeancy16@irs.gov";"Butter - Unsalted";4;87;"2024-09-16";43
"Ignazio Keneleyside";"ikeneleyside18@yahoo.com";"Eggs - 6 Pack";1;243;"2024-12-18";45
"Zorine Kunes";"zkunes19@cnn.com";"Beef - Ground";3;52;"2024-05-06";46
"Karie Fagan";"Unknown";"Apples - Green";3;154;"2024-10-01";47
"Johny Clericoates";"jclericoates1b@va.gov";"Juice - Orange";9;187;"2024-11-22";48
"Petronella Tregenza";"ptregenza1c@infoseek.co.jp";"Oranges";4;44;"2023-11-16";49
"Demetris Mudle";"dmudle1d@businessinsider.com";"Cereal - Chocolate";4;209;"2024-01-26";50
"Aloin Coltart";"Unknown";"Milk";4;150;"2024-06-23";51
"Ethelda Strangward";"estrangward1f@spiegel.de";"Juice - Orange";6;237;"2023-09-17";52
"Mabelle Reynolds";"mreynolds1g@toplist.cz";"Carrots - 1kg";10;85;"2023-08-17";53
"Unknown";"tgecke1i@cyberchimps.com";"Chips - Salted";4;137;"2024-07-19";55
"Ulberto Sidwell";"usidwell1j@tinypic.com";"Bread - White";10;96;"2024-06-30";56
"Byram Bediss";"bbediss1k@examiner.com";"Butter - Salted";10;90;"2023-09-20";57
"Jack Woodland";"jwoodland1l@opensource.org";"Apples - Red";4;25;"2023-06-30";58
"Kippar Spruce";"kspruce1m@dagondesign.com";"Bread - Whole Wheat";3;157;"2024-06-13";59
"Neysa Naper";"nnaper1n@rediff.com";"Pasta - Spaghetti";4;103;"2024-02-04";60
"Engracia Downs";"edowns1o@addtoany.com";"Cereal - Chocolate";3;195;"2023-08-29";61
"Truman Abbet";"tabbet1p@opensource.org";"Water - Bottled";8;185;"2023-07-21";62
"Adara Nelthrop";"anelthrop1r@accuweather.com";"Apples - Green";5;239;"2024-03-17";64
"Jacques Chitty";"jchitty1t@icio.us";"Chicken - Thigh";4;297;"2024-05-28";66
"Stevena Bangham";"sbangham1u@taobao.com";"Chicken - Breast";8;237;"2023-07-16";67
"Bren Drain";"bdrain1v@sciencedaily.com";"Beef - Ground";7;248;"2024-01-29";68
