Transaction ID,Customer Name,Customer Email,Product Name,Quantity Sold,Sale Amount,Sale Date,
1,Perry Marusic,pmarusic0@uiuc.edu,Cereal - Chocolate,4,202,11/11/2024,11/12/2024
2,Verine Reaman,Vreaman1@hibu.com,ORAnges,6,294,1/7/2025,
3,Riobard Goggey,rgoggey2@com.com,Carrots - 1kg,1,220,12/3/2023,
4,Malachi Weins,mweins3@nytimes.com,Beef - Steak,6,270,12/12/2023,
5,Penni Laurentin,plaurentin4@time.com,Bananas,9,125,8/31/2024,
6,Cesar Adlam,cadlam5@taobao.com,Juice - Orange,2,298,1/26/2024,
7,Jorgan Oxtaby,joxtaby6@scribd.com,Cheese - Cheddar,6,168,10/27/2024,
8,Guy McNern,gmcnern7@psu.edu,CHIPS,8,240,7/2/2023,
9,Oswell Glayzer,oglayzer8@paginegialle.it,Pasta - Spaghetti,1,287,4/11/2024,
10,Vernen Arsey,varsey9@scribd.com,Juice - Orange,5,162,7/20/2023,
11,Gabbie Jans,gjansa@sitemeter.com,Cheese - Mozzarella,6,3,9/30/2024,
12,Stacie Stonall,sstonallb@bravesites.com,Rice - Jasmine,,19,9/25/2024,
13,Vince Tourner,vtournerc@pagesperso-orange.fr,Water - Bottled,5,9,2/18/2024,
14,Meade Stickford,mstickfordd@technorati.com,Cereal - Cornflakes,,75,1/20/2024,
15,Julietta Paulazzi,jpaulazzie@youku.com,Chips - Salted,1,151,12/24/2024,
16,Darin Rameau,drameauf@examiner.com,Rice - Jasmine,4,78,5/23/2023,
17,Joseito Westraw,jwestrawg@studiopress.com,Butter - Unsalted,7,181,5/30/2023,
18,Melisenda Bax,,Eggs - 12 Pack,2,202,10/30/2023,
19,Merry Phillps,mphillpsi@amazon.de,Bread - White,,255,11/15/2023,
20,Troy Crush,tcrushj@howstuffworks.com,Apples - Green,,38,2/15/2024,
21,Randie Pirdy,rpirdyk@sogou.com,Soft Drink - Cola,3,24,5/27/2024,
22,Garrek Peel,gpeell@addthis.com,Chicken - Thigh,3,,12/24/2023,
23,Louisette Charlesworth,,Cheese - Cheddar,10,221,2/1/2024,
24,Tremayne Lynnitt,tlynnittn@4shared.com,Water - Bottled,3,114,12/28/2024,
25,Barny Drinnan,bdrinnano@boston.com,Onions - 1kg,6,49,8/2/2023,
26,Giorgi Ruppert,gruppertp@4shared.com,Chips - Barbecue,2,,10/17/2024,
27,,omccurdyq@cpanel.net,Chips - Salted,,71,7/23/2024,
28,Lynn Littrell,llittrellr@vk.com,Rice - Jasmine,5,50,12/11/2023,
29,Myron Aberdeen,maberdeens@reverbnation.com,Eggs - 12 Pack,3,10,1/22/2024,
30,Llewellyn Walburn,lwalburnt@ftc.gov,Cereal - Chocolate,6,61,11/7/2023,
31,Wang Charlson,wcharlsonu@blogspot.com,Eggs - 6 Pack,9,,4/3/2024,
32,Baxie Dabes,bdabesv@moonfruit.com,Soft Drink - Lemon,10,78,10/4/2024,
33,Catriona Ghidetti,cghidettiw@google.com.au,Fish - Salmon,7,159,5/7/2023,
34,Pall Winterbottom,pwinterbottomx@spiegel.de,Chicken - Thigh,8,101,4/19/2024,
35,Maje Vasler,mvaslery@yelp.com,Milk - 2L,1,299,1/20/2024,
36,Gordie Ounsworth,gounsworthz@ebay.com,Cereal - Chocolate,7,228,9/17/2024,
37,Brittaney Pailin,bpailin10@theglobeandmail.com,Pasta - Spaghetti,,13,7/3/2024,
38,Tirrell Varty,,Eggs - 6 Pack,6,120,5/16/2023,
39,Christoforo Cansdall,ccansdall12@intel.com,Juice - Apple,3,214,9/1/2024,
40,Nealson Greasley,ngreasley13@pen.io,Cheese - Mozzarella,5,121,10/18/2023,
41,Brnaba Armstrong,barmstrong14@zimbio.com,Carrots - 1kg,,264,9/10/2023,
42,Yule Laidel,ylaidel15@csmonitor.com,Chips - Barbecue,6,297,4/13/2024,
43,Britney de'-Ancy Willis,bdeancy16@irs.gov,Butter - Unsalted,4,87,9/16/2024,
44,Daffi Sargood,dsargood17@networksolutions.com,Chips - Salted,5,,3/28/2024,
45,Ignazio Keneleyside,ikeneleyside18@yahoo.com,Eggs - 6 Pack,1,243,12/18/2024,
46,Zorine Kunes,zkunes19@cnn.com,Beef - Ground,3,52,5/6/2024,
